ticker_code
SSO
SPXU
GLL
GLD
RJA
CORN
WEAT
OIL
UGA
CPER
BND
TTT
TMF
VCSH
SLV
ZSL
YCL
YCS
USDU
UDN
ULE
EUFX
FXA
CROC
UCO
KRBN
BDRY
BOIL
CEW
INVO
SAN
URR
DRR
DLBR
CYB
PALL
CANE
GRU
SLX
JJU
JJN
NETL
REM
IWM
IWC
SRS
TBF
KOLD
DRIP
YANG
TZA
FAZ
TMV
JDST
DUG
EPV
EMTY
REW
RXD
SMN
SBM
