Date,Open,High,Low,Close,Adj Close,Volume
9/22/15,28.514999,28.674999,28.110001,28.52,27.732851,12499600
9/23/15,28.559999,28.735001,28.219999,28.395,27.611301,7960800
9/24/15,27.99,28.375,27.530001,28.235001,27.455717,15108800
9/25/15,28.715,28.825001,27.889999,28.195,27.416822,20042400
9/28/15,27.879999,27.91,26.68,26.77,26.031149,18931000
9/29/15,26.85,27.27,26.475,26.805,26.065184,16582200
9/30/15,27.450001,27.855,27.18,27.799999,27.032722,15939800
10/1/15,27.945,28.049999,27.285,27.959999,27.188305,13350400
10/2/15,27.26,28.790001,27.084999,28.790001,27.995401,18698000
10/5/15,29.205,29.885,29.18,29.805,28.98238,9366200
10/6/15,29.780001,29.955,29.365,29.6,28.783043,8830400
10/7/15,29.924999,30.209999,29.51,30.084999,29.254652,9926200
10/8/15,29.945,30.73,29.844999,30.629999,29.784618,11398400
10/9/15,30.690001,30.834999,30.440001,30.66,29.813784,5937800
10/12/15,30.705,30.795,30.540001,30.715,29.867268,3359600
10/13/15,30.459999,30.915001,30.275,30.34,29.502617,5494400
10/14/15,30.334999,30.525,29.934999,30.02,29.191454,7003600
10/15/15,30.290001,30.959999,30.15,30.959999,30.105503,7221200
10/16/15,31.094999,31.24,30.83,31.209999,30.348606,6615800
10/19/15,31.014999,31.27,30.895,31.245001,30.382643,4934200
10/20/15,31.110001,31.415001,31.02,31.174999,30.314569,4426000
10/21/15,31.35,31.389999,30.74,30.815001,29.96451,8044600
10/22/15,31.16,31.91,31.1,31.815001,30.936911,10065600
10/23/15,32.455002,32.68,32.169998,32.549999,31.651627,9708000
10/26/15,32.474998,32.5,32.25,32.389999,31.49604,4786000
10/27/15,32.154999,32.384998,32.005001,32.244999,31.355034,5021000
10/28/15,32.380001,32.990002,32.130001,32.98,32.069752,8133800
10/29/15,32.805,33.084999,32.755001,32.955002,32.045444,5128400
10/30/15,33.029999,33.134998,32.595001,32.650002,31.748865,5522600
11/2/15,32.77,33.509998,32.740002,33.41,32.487885,5271800
11/3/15,33.314999,33.84,33.224998,33.610001,32.682369,4477400
11/4/15,33.744999,33.775002,33.23,33.419998,32.497601,5657200
11/5/15,33.455002,33.625,33.02,33.345001,32.424686,5347400
11/6/15,33.220001,33.415001,32.82,33.32,32.400364,6562800
11/9/15,33.09,33.134998,32.334999,32.700001,31.797487,7653800
11/10/15,32.525002,32.855,32.415001,32.810001,31.904451,4598600
11/11/15,32.950001,32.959999,32.564999,32.580002,31.680796,5052000
11/12/15,32.200001,32.369999,31.67,31.674999,30.800776,8707000
11/13/15,31.514999,31.615,30.924999,30.955,30.100645,10902400
11/16/15,30.889999,31.91,30.844999,31.889999,31.00983,8395200
11/17/15,32.02,32.334999,31.67,31.82,30.941771,11218800
11/18/15,32.025002,32.91,32.009998,32.860001,31.95307,8249000
11/19/15,32.805,32.959999,32.700001,32.799999,31.894716,4170200
11/20/15,33.09,33.294998,32.900002,33.040001,32.128101,4785400
11/23/15,33.049999,33.255001,32.790001,32.970001,32.060036,4296400
11/24/15,32.595001,33.205002,32.445,33.044998,32.132961,6339000
11/25/15,33.110001,33.174999,32.950001,33.049999,32.137817,3072800
11/27/15,33.075001,33.18,32.895,33.105,32.191299,1968400
11/30/15,33.165001,33.220001,32.799999,32.845001,31.938475,6971400
12/1/15,33.07,33.514999,32.970001,33.465,32.541374,6708400
12/2/15,33.445,33.560001,32.685001,32.775002,31.870415,6350400
12/3/15,32.880001,32.970001,31.584999,31.84,30.961222,9509600
12/4/15,32.009998,33.209999,31.955,33.084999,32.171852,9570400
12/7/15,32.974998,32.974998,32.330002,32.68,31.778032,5692600
12/8/15,32.09,32.595001,31.885,32.25,31.359905,7058400
12/9/15,32.014999,32.790001,31.385,31.74,30.863976,11702800
12/10/15,31.785,32.389999,31.68,31.905001,31.024424,7222800
12/11/15,31.135,31.365,30.549999,30.635,29.789478,13740200
12/14/15,30.735001,31,30.08,30.98,30.124954,14582800
