ticker_code
LLY
GM
KAR
IAA
PG
EQR
MAA
ENB
NLY
EPD
KDK
AGNC
PENN
PLUG
NFLX
DIS
VEEV
AMZN
PSB
AOS
SCHW
COIN
SNOW
ZM
LULU
ALGN
EPAM
DNKN
MU
EAF
DG
DELL
CMI
AAPL
MSFT
KO
HSY
HOG
MCD
EL
FDX
HD
SWK
CCL
PYPL
TAP
NIKE
ORCL
HSBC
SAM
CVS
DE
AMD
MA
